"C3L-02544-06","C3N-00518-01","C3L-00770-11","C3L-00586-03","93e30fd5-e57e-4503-a175-863c7d","C3L-00586-13","C3N-01179-05","C3N-01179-01","C3L-00583-06","C3N-03490-06","C3L-00981-06","C3L-02169-07","C3N-04176-09","C3N-01858-11","C3L-00136-13","C3N-01761-05","C3L-02809-04","C3L-01951-01","C3N-01505-01","C3N-03008-11"
2070,1344,1943,2937,3200,1033,1261,1596,2283,1982,1187,465,817,614,649,1627,1572,1762,2000,614
51,21,29,31,22,36,67,20,32,181,25,6,18,22,2,32,15,22,9,0
641,1320,694,1828,1323,451,584,1034,704,944,490,704,826,535,335,1180,1220,1334,979,695
844,1490,1360,1939,1375,501,589,1105,936,1107,679,738,1111,664,1232,1198,967,1141,1026,417
180,444,1042,1056,943,366,161,546,229,359,136,221,344,542,588,579,347,514,829,364
145,632,301,295,1200,29,86,492,164,247,153,4586,3262,196,78,435,254,895,432,67
2309,17323,1466,7646,8289,1351,1815,4659,2826,13525,2131,4470,7108,6901,3061,2929,10131,4176,4118,1449
1838,1910,918,2548,1817,516,1080,2258,1434,534,852,1107,1290,607,854,1001,1242,1694,1659,502
1604,1052,2561,2667,1383,932,1422,2073,1719,2163,1270,687,891,2378,1180,917,1395,3035,2515,2341
1264,1297,1706,2381,2332,824,868,1212,1215,1114,980,1065,1348,984,1847,1342,1051,1310,1494,1176
377,447,913,676,336,275,209,367,382,470,332,346,363,216,351,452,305,358,141,313
2173,1461,2198,2003,2094,670,1229,3427,2844,2368,1939,2249,3367,979,1092,1670,1521,3615,1401,857
1419,929,1843,1968,1698,607,790,1560,1128,1386,1164,1020,1398,966,631,2249,1205,1290,1293,672
1480,2696,4490,4258,1439,1389,1203,2652,1939,859,919,3023,2927,310,1626,484,745,3942,1927,46
1127,460,2403,1594,492,600,571,2691,706,4217,671,683,875,537,1634,977,433,2750,886,392
161,13614,140,9738,1784,1697,181,155,291,814,261,2947,4829,140,405,191,2552,321,140,23
6407,5200,4595,5855,8927,2284,5222,5072,5954,3542,4255,2460,3596,3446,3647,4610,4476,7787,7948,2796
232,264,70,407,385,29,121,244,147,203,140,471,462,28,54,227,136,96,361,17
451,408,766,580,717,318,333,634,454,356,400,324,432,666,636,524,363,701,598,423
859,625,1313,1337,580,407,606,1401,966,933,786,431,1103,712,472,1385,704,882,921,298
54,143,103,9,107,18,27,36,60,22,50,8,15,40,63,13,89,15,15,12
371,377,177,518,563,46,199,465,246,232,264,265,306,40,63,368,131,378,378,16
4573,4382,2425,9652,6015,942,3276,3316,4329,3183,2534,4490,4772,1488,2400,2412,2637,4477,7938,612
1358,8270,2968,2488,6416,942,1109,4815,1700,4587,1419,3263,3350,2756,1118,6972,4303,4789,10021,1576
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,967,1613,2521,2280,565,98,358,181,300,189,114,203,422,574,601,402,386,1184,129
12100,968,166,153,166,67,3647,148,17184,101,1987,31,88,14,92,26,1231,3309,81,28
25,62,45,69,33,46,21,14,27,30,16,14,17,22,742,26,50,9,151,29
3977,492,394,234,226,90,2565,41,2895,344,3237,16,66,414,56,35,271,14,1364,49
84,67,119,138,197,47,42,95,77,75,73,82,183,71,86,80,86,118,102,82
4242,4824,4733,7935,7231,2148,2270,4869,2964,2158,3399,3798,6849,2818,6023,3251,5066,3906,3478,1924
685,653,674,1047,822,174,506,865,637,845,507,528,840,130,272,601,488,813,508,197
6689,1803,354,594,691,115,4305,8485,4866,398,3083,374,1020,96,277,225,1136,8202,1324,57
2727,3880,1657,5493,3359,888,1572,4542,2164,1948,1603,4259,4337,1143,983,2554,3275,4039,3476,1349
1923,157,1549,612,224,295,1031,517,1567,434,1126,54,150,446,194,4477,275,436,2222,106
138,45,45,28,106,12,221,59,452,869,309,88,276,526,352,32,140,33,86,90
1163,1750,2044,3019,2123,708,641,840,1053,542,1093,740,1198,541,2478,552,1747,974,617,40
455,124,959,440,841,115,148,92,188,459,199,133,114,74,231,125,125,205,786,1
3012,2498,2654,3652,3645,1073,2052,3266,2717,2174,2528,1977,2989,1598,2377,3253,2958,3222,3138,1184
1440,1385,1493,1683,2954,557,792,2414,1200,989,812,1863,2993,1940,961,1075,2135,2049,876,226
10979,9556,11290,7665,16090,4216,8361,18869,12581,11818,8849,16331,17820,10095,6378,9608,9315,17962,8258,3867
3636,4774,620,890,11947,414,3458,12231,4855,2661,2485,9678,14274,5861,937,3215,8837,23877,2918,500
761,885,902,1340,985,387,511,967,830,836,646,569,858,421,557,1050,797,1119,1032,300
4263,4776,8320,9219,4624,2678,3074,4889,4793,5068,3718,4288,5856,3446,4053,7585,4013,5315,6012,2648
159,234,267,145,198,119,211,340,213,226,193,147,340,444,274,443,122,399,415,77
1559,1957,159,333,1051,157,941,2806,2355,6339,842,3048,2727,6189,807,4357,1000,4320,929,76
1043,1743,1061,3113,2367,343,620,1372,987,2054,813,874,1196,418,561,1608,1140,1261,1566,485
533,317,726,412,611,142,330,719,420,245,378,248,393,199,160,520,264,299,611,34
4341,1784,1835,3744,3033,515,3250,2169,4456,3848,2712,1334,2017,1027,489,1826,1233,2359,1583,620
2783,3539,5394,2250,6268,742,1381,9159,2269,1848,1837,4739,8588,3902,1044,4710,2288,6178,6496,675
8704,4012,7298,5984,6149,1766,5932,7040,8073,4628,7213,3556,4407,3395,1807,4408,3967,7932,3828,3225
130,164,439,699,1159,177,56,206,176,448,89,1795,956,3835,175,68,206,208,311,146
3233,1693,2071,8384,1480,1261,2013,2092,2474,3090,2156,1459,1308,1018,608,2120,1759,1788,2105,747
2765,3970,3426,7722,3537,1964,1776,3651,2675,3263,2180,2125,3124,2879,1512,4762,4461,3326,3370,3025
5776,5033,11002,10796,5552,2328,3312,5818,4680,4295,4903,4980,6144,2320,2414,9567,5080,4596,5953,1059
212,297,310,302,389,105,80,1295,193,484,106,503,539,137,103,1005,299,837,360,225
860,2977,822,2499,2698,436,574,2313,918,1033,505,1541,1688,908,416,1802,2728,2887,2187,1209
1796,2811,1821,3149,3718,848,1428,2170,2049,1776,1426,1475,2089,1011,1019,2475,1826,2905,2236,1095
56,32,57,15,14,27,19,21,71,339,25,29,47,184,12,155,14,1,29,34
285,77,1408,120,273,99,67,177,103,131,219,102,126,263,70,309,180,112,434,109
1230,1296,481,2346,919,189,964,1495,1407,2457,845,816,723,449,224,1089,837,1399,1174,414
1464,3191,364,1656,1416,623,4105,17560,7531,7461,6685,7489,5615,2544,1064,3417,1518,194291,1445,94
6,18,33,191,5,90,4,29,6,2,6,10,23,23,0,67,19,8,0,0
56,113,221,303,149,54,39,44,51,36,59,250,92,10,10,68,10,55,128,0
1,48,0,3,16,7,4,11,22,9,2,29,46,10,48,14,46,43,22,9
5,27,1,0,27,1,1,1,1,61,5,9,2,20,3,1,17,0,96,4
2897,1846,2239,5532,2919,1456,1988,2060,2530,1059,1605,1000,1381,1266,2861,1122,1827,2529,1671,920
1334,687,1326,1803,1278,687,933,836,1006,542,873,1367,1570,717,1620,804,840,1076,1137,603
1936,4721,4034,4488,3865,1892,1401,4846,1966,2590,1401,2681,3603,4644,1880,4695,3984,4337,3348,4098
2348,5,10,14,5,5,2027,6,2757,16,3956,6,59,3,38,11,0,2,24,7
154,50,4,3,86,2,148,98,151,47,213,37,56,6,27,9,13,327,18,1
615,514,372,990,717,209,411,566,554,748,417,395,449,398,308,420,485,574,684,385
1314,812,1341,1728,979,405,563,1380,872,1236,987,790,1134,459,526,1818,700,1015,1125,345
109,493,1429,1314,1162,149,34,0,101,948,93,249,251,71,575,51,1311,1,2,441
4143,2176,4489,6062,5349,1363,2671,2990,3663,2626,3125,3107,3574,1421,1191,2767,3091,2276,2873,932
2694,3392,1204,2852,4100,911,1927,2932,2493,331,1769,2646,3309,1055,566,734,5038,5079,4006,1095
7234,2817,2826,8592,6876,2041,5724,2911,10150,4892,4668,3739,3935,3626,1293,2444,3728,3209,4069,3355
129,1462,560,1173,1300,251,91,291,112,433,82,415,509,401,163,835,669,324,1599,588
108,29,247,1107,1,175,31,41,89,0,78,0,3,78,57,1878,27,40,14,6
535,594,319,1168,974,104,332,737,434,764,374,405,447,109,162,616,336,622,1040,125
835,502,1585,1446,1119,708,514,709,711,717,651,564,675,1147,845,870,574,672,1443,714
19,231,33,63,13,24,2,39,11,242,2,34,118,318,15,585,764,10,0,35
3797,1040,507,3388,836,388,3064,2811,6608,711,4458,596,1556,1965,963,3141,596,4415,4240,201
1676,1384,2571,3484,2502,827,1156,1479,1508,2012,1510,1406,1910,882,960,3761,1266,1241,1147,570
730,1044,1123,2398,1478,769,518,944,775,1026,529,768,902,923,615,1244,1468,1061,1557,956
2959,1218,4789,1892,191,549,2447,1035,2697,274,1704,202,494,80,245,985,330,664,63,35
153,216,691,448,263,141,84,232,166,220,74,86,171,123,113,195,125,212,270,39
1377,1219,962,2412,1336,338,842,1048,1196,1788,1056,939,1094,446,437,971,1383,1200,1021,417
1560,786,3666,1824,1537,675,797,1015,1113,724,1243,653,628,449,1141,1027,579,737,1362,420
858,1753,545,690,1044,187,465,719,672,1319,614,1282,1091,245,350,621,913,906,1881,335
398,1213,46,93,254,13,254,647,323,674,194,222,516,350,19,718,645,687,244,211
445,542,81,336,908,114,295,165,748,386,345,449,587,341,82,1334,361,304,1291,122
658,1242,2234,2107,1555,838,481,1290,615,1280,556,1147,1544,1467,867,1039,1301,1365,1440,1163
4612,2749,12937,6450,3968,3958,2833,4969,3810,3682,4308,3591,5175,5819,4018,6146,4276,3566,3675,3950
2003,697,1650,867,1178,192,846,2350,1290,756,1684,848,967,191,1978,3455,523,1150,732,13
5,6,3,20,8,1,2,1,7,12,2,61,32,31,129,17,10,4,4,0
31,19,70,48,107,26,100,46,32,15,11,63,144,15,183,28,21,60,111,0
1001,1092,1693,1736,933,835,912,1635,1308,1138,920,597,1023,931,1330,1518,969,1730,1247,750
449,357,500,685,332,126,253,896,324,177,372,206,268,160,268,425,368,1073,623,132
1188,1077,584,473,1908,266,804,977,1120,2954,697,448,702,468,583,1020,948,1018,2377,828
187,184,81,183,256,85,97,857,84,598,82,39,62,105,275,134,175,149,497,56
4466,4411,10148,8405,9799,6513,2852,6954,4204,4668,3805,4900,7352,7971,9195,7888,5713,5740,5004,5340
2420,1368,1579,2264,2618,576,1195,887,1761,964,1387,2177,2390,353,1318,875,1431,842,2507,348
37,76,15,12,8,9,7,55,15,76,8,11,23,23,11,29,16,28,2575,4
3464,5358,4189,8289,4721,2283,2840,5530,4138,4837,2379,3869,4544,3687,2097,5121,5015,7271,4477,2765
1588,1784,3156,3561,3637,1863,1100,2183,1296,1291,1093,1216,1660,2730,2914,1141,1422,2135,2947,1511
8410,11668,7094,14199,11510,2851,5580,12294,9016,24479,6076,8298,14007,8627,2576,13464,11054,13676,13214,6536
1282,2950,1288,1924,2198,764,1382,2977,2483,2030,1202,1841,2280,2055,801,2910,2227,4278,2447,2427
371,751,848,877,1542,223,176,935,161,318,272,2361,2788,479,167,300,540,775,525,24
2379,263,529,556,339,149,2033,2054,2440,2011,1734,318,607,212,112,1038,410,1239,523,127
6807,12108,1621,5912,21578,1185,3300,10176,3984,2424,3919,8154,12325,2744,923,4184,22742,5576,12025,4446
3313,3052,3945,4776,3727,1546,1714,3362,2605,3040,1782,2383,5170,2144,2196,7804,3038,4058,4007,2069
8981,10414,4883,14324,13611,4092,7095,12100,9643,8270,3899,7988,8485,4642,4617,5327,12719,12777,14365,11573
53,8,485,210,46,53,22,52,48,30,44,117,80,14,18,123,17,31,64,2
26,16,2,10,53,2,15,2,39,381,4,47,58,4,8,9,7,10,53,0
1775,2941,2047,4572,3228,1080,1085,1163,1780,2903,1060,2655,3219,743,1419,1491,3001,1264,2917,919
547,867,467,1827,745,96,511,1130,710,598,497,553,415,173,127,677,465,454,533,155
67,89,54,23,251,7,16,146,40,169,61,113,137,79,6,28,138,44,30,4
539,849,1245,1100,748,208,193,637,355,707,372,494,598,161,223,694,1971,320,317,162
1437,2633,1275,855,1384,425,674,2264,877,805,684,1058,1952,441,449,3824,1714,1317,350,141
197,15,1352,129,17,61,45,35,97,153,151,10,15,105,11,35,10,19,27,0
1,0,0,0,0,0,0,0,0,72,1,2,1,0,0,1,0,0,0,0
795,293,741,569,568,206,480,1118,518,1046,851,874,1005,266,185,731,435,901,621,209
73,1041,2,27,7,8,15,6,36,180,18,34,40,2,11,106,612,8,132,5
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,11,5
307,1111,4583,4007,2529,568,128,618,214,278,154,238,431,259,710,849,533,449,4502,456
10111,6764,7853,11757,14597,3220,5874,7292,8644,4247,6795,6549,9343,4483,4509,7190,8899,7959,7900,3266
31,46,484,100,0,54,19,2,16,9,28,24,0,2,26,139,3,2,0,0
1191,1580,1141,2277,1880,250,760,1987,1121,1127,1022,1233,1359,338,274,1866,1191,1762,1831,229
2557,566,1475,3860,2157,615,1342,4234,1844,862,1654,1278,2428,356,360,1146,1980,3939,694,106
3596,2741,1755,2594,2930,312,1543,4899,2066,1666,2331,1492,1998,1003,333,2933,1273,2772,2639,162
4,99,20,60,17,27,2,3,3,100,1,42,71,85,10,89,18,3,573,34
944,3207,331,3837,2350,212,400,697,715,382,765,1633,782,128,75,1849,1771,1117,2975,491
1,1,940,1952,0,918,0,3,1,11,1,0,4,59,1200,119,7,7,12,15
1006,1016,2459,2391,4032,1093,599,98,599,4680,565,852,1448,276,1300,188,1172,95,496,891
810,1890,1614,2521,4328,923,606,1307,798,2272,516,1694,2007,1385,1344,1380,2734,1629,2599,2668
536,2010,2708,1737,3239,792,315,444,425,912,418,1083,1155,543,934,447,1893,309,165,1238
1837,2746,15508,7011,8286,3335,1359,3128,2332,5685,1336,2975,4364,5429,11183,3639,4282,3024,2150,4385
569,2882,396,1676,1252,958,155,451,391,368,244,3885,5644,519,5158,750,2963,264,7798,219
1574,1623,2246,2586,2935,907,1038,2337,1595,1750,1315,1023,1790,1053,1689,2173,1510,1936,2652,944
2002,1950,306,394,1567,64,1315,1214,1442,234,1322,3204,3316,143,76,204,2045,1438,1020,68
924,368,620,302,460,71,579,874,748,2528,507,205,244,389,186,97,669,432,3,419
725,2470,1372,1525,3465,741,546,1660,1031,3170,568,997,1866,1599,671,1507,2173,1883,2068,1761
5,34,0,13,8,3,7,12,12,19,8,1,5,0,0,3,29,13,9,2
2791,3501,3894,4135,3398,1606,1764,2211,2370,2461,2093,1794,2759,2062,2639,2367,3834,1972,2247,1627
5127,1438,6,5,6,9,3303,5616,4454,11,2308,2,3,104,165,12,1343,4946,16,0
311,392,342,2251,1180,266,221,288,308,603,165,245,317,302,380,264,396,247,518,211
167,433,907,1373,1450,511,124,279,178,356,109,245,323,744,260,466,348,335,1076,427
122,25,22,20,61,11,70,182,87,16,68,42,49,40,19,96,18,123,89,9
783,907,1103,4879,1567,2089,654,748,897,1445,885,755,2064,790,989,1088,589,1488,1422,1581
0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0
809,583,1097,1098,659,425,487,775,760,1267,627,386,533,541,637,555,281,576,575,374
1550,811,1746,1779,2039,563,666,943,1053,2092,1009,526,577,489,2146,914,1395,548,893,445
1531,1073,1208,2304,1360,431,1106,1643,1644,1688,1298,1247,1321,632,495,1887,1070,1709,2579,359
4101,6802,3279,6828,8261,1835,2473,5412,4150,3844,3026,4042,5012,2224,2520,4455,5875,6544,6154,2058
548,211,752,205,949,127,239,462,417,125,397,1308,1941,159,250,957,306,337,143,116
2697,2332,2250,5267,2075,807,1868,2518,2871,3012,1936,1849,1984,1161,750,2636,1430,2583,3217,755
6356,758,401,447,3208,114,3932,396,6294,995,4833,736,724,192,199,104,2511,436,10034,58
7009,2684,3788,7881,4662,1162,2883,3330,4155,902,3477,1687,3269,328,2158,1743,1856,3151,1646,179
1183,201,356,614,415,214,539,451,703,605,480,233,502,180,180,507,267,486,406,150
0,106,1,1,42,2,0,5,1,51,0,4,8,34,1,107,77,0,1,128
2033,2658,1407,3960,2112,816,1427,3419,2484,4484,1475,4052,3308,1160,974,2921,3703,4516,2773,1626
67,39,84,78,44,51,53,96,82,48,73,27,49,80,81,93,54,73,125,29
1653,24,92,81,45,36,2128,59,3093,14,1613,11,12,15,337,37,26,196,54,5
5,70,0,3,21,0,3,2,0,7,4,88,504,85,1,10,491,0,4,0
695,343,1110,913,639,342,364,651,454,757,594,451,595,535,408,937,527,473,1023,494
3483,2833,5029,5326,294,2420,2033,14200,4321,34,2291,204,83,1474,4466,1648,4871,4851,1731,7
481,285,368,1188,1036,97,337,647,497,658,405,497,379,107,40,618,366,666,818,92
37,220,619,58,99,14,16,87,11,26,13,344,312,24,29,36,60,88,145,0
6678,7813,9618,9625,6328,4528,4609,8375,6844,8810,4704,6994,8351,7674,5962,11077,6816,9237,11107,6967
36,3,15,106,25,21,40,182,52,30,48,63,134,15,24,63,73,159,240,0
207,53,1013,474,455,225,107,71,137,68,90,608,229,27,662,120,52,24,1745,16
10234,7262,7335,10125,8271,2294,7579,7344,9697,7429,7505,6179,8596,3108,3342,6612,4653,9020,9171,2524
3443,2,1,4,13,0,3608,1,3856,11,1594,3,11,13,2,1,99,5,0,0
384,4845,3620,1200,1422,433,162,566,323,4880,266,2935,5245,1362,1015,5532,2222,702,12931,780
740,303,92,699,332,38,398,613,530,367,466,303,300,31,46,350,286,411,234,14
59,101,27,69,118,6,31,218,23,57,32,377,290,41,4,52,42,83,33,10
3,1209,1949,5,60,0,5,0,6,2278,3,4,2,4,39,23,507,1,0,1
31,38,21,59,46,4,12,133,17,41,35,41,81,20,2,250,34,104,12,5
55,11,1,4,6,0,20,211,73,3312,15,8,11,13,4,12,8,272,6,5
720,941,1330,1252,902,511,517,1235,688,831,590,661,962,1127,690,1259,790,1091,865,825
15,1,0,1,0,1,2,25,2,31,5,20,5,0,2,2,1,8,2,0
14,353,1285,152,8,220,9,28,7,13,15,6,25,151,23,75,155,27,216,17
410,421,465,1046,727,92,199,501,340,451,319,314,312,103,64,363,244,326,546,65
595,1706,791,1411,1406,261,210,749,473,1516,323,705,1020,235,300,1275,1274,601,735,172
2324,2536,7438,5545,3307,2850,1546,3090,2206,2023,1864,1942,2794,2012,2950,4345,2697,2551,3704,3083
243,110,168,73,291,28,128,63,170,115,151,4785,6060,83,144,217,112,30,114,10
485,438,363,262,377,102,348,327,457,103,408,214,129,57,210,111,188,260,218,65
677,583,184,952,421,45,363,907,444,709,452,483,483,72,53,679,336,672,675,26
3026,664,1809,1751,1005,246,1060,923,1442,517,2046,959,1194,148,509,992,699,832,973,71
469,367,957,608,695,270,339,457,385,394,394,333,621,563,428,593,421,425,515,507
745,861,1944,1056,531,388,370,347,680,1236,597,609,915,454,605,3269,1210,358,407,575
166,165,30,130,179,17,449,108,573,658,700,1996,1318,3207,604,512,130,82,78,24
2908,669,1315,1842,1462,331,1536,1468,2771,1355,2322,835,971,623,402,1140,867,1289,983,335
577,1368,285,26,444,51,605,596,615,262,671,583,910,99,68,212,573,772,142,31
1966,1157,2457,3440,1406,1128,1155,3160,1545,1891,1477,1636,2178,776,1424,2864,710,3939,918,245
13,44,4,38,98,8,12,22,8,10,11,8,21,6,10,13,32,11,24,3
10,57,340,440,251,114,6,45,9,822,7,65,141,285,71,44,89,34,224,93
2641,4032,1681,6863,3185,936,1776,4474,2710,3523,1696,2406,3158,2321,995,4002,3133,4860,3925,2390
11,13,75,4,10,7,2,20,5,17,5,14,25,112,28,15,14,13,42,23
1195,1231,3675,2725,1238,920,686,1273,1028,3615,1033,1150,1901,1536,2741,1581,1455,1423,1509,3292
2395,3249,404,835,2213,608,1548,4085,2228,2069,1690,2938,4056,1811,995,2072,2529,2761,1717,2113
168,95,17,34,88,15,93,132,169,32,124,101,167,24,28,82,64,139,36,72
60,32,167,93,57,41,46,69,52,54,56,53,68,51,16,99,47,59,32,48
1472,1637,2401,2480,2879,581,866,1229,1056,1230,987,2045,2145,703,659,1780,1204,1350,2001,548
1034,0,10,7,1,1,520,5,627,98,830,2,0,21,11,6,0,6,73,1
0,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
287,178,472,388,320,182,175,120,200,143,320,266,373,65,110,244,107,88,93,1
1259,3645,1809,1348,3136,562,706,1888,1212,1580,947,1304,2386,897,716,2433,2634,1628,2897,701
1705,3445,256,719,1773,549,955,3586,1695,470,1154,282,860,287,144,2492,2697,2231,3759,197
2586,2677,3081,4170,3362,2239,2267,2993,3347,3207,1577,1907,2848,4982,2416,4479,3037,4242,2219,7335
2049,2635,4979,4188,3975,822,1188,1508,1452,2222,1303,2021,2262,603,1118,1155,1802,1179,1189,575
10406,10796,5900,11041,8676,3359,8141,21287,11369,10872,8644,12285,14634,4699,3350,13032,11628,20958,18820,6859
107,244,534,295,584,124,67,90,82,89,77,60,142,103,192,203,640,71,1309,41
3179,2000,666,1173,9479,775,4526,3073,6000,2412,3561,2576,2432,2318,612,5887,2116,5125,4594,261
166,269,499,239,221,63,143,510,97,1473,180,195,540,49,127,168,959,177,112,95
181,386,203,735,343,156,182,207,198,339,142,218,300,128,114,292,164,396,405,114
345,113,176,378,350,34,209,305,234,192,304,223,265,51,55,179,100,285,143,24
2872,492,1134,705,3710,289,2062,2570,2972,1047,1436,2670,2692,1547,373,191,1685,2229,2360,733
647,828,741,2166,987,680,477,790,628,908,699,1345,1498,737,391,1891,675,1017,1615,706
16,6,22,25,25,4,2,22,7,21,20,56,23,9,3,28,5,12,8,4
1107,854,4174,1316,436,2042,377,765,430,3557,699,1324,3182,1736,3448,4937,1160,508,2193,1274
6674,4990,1644,2855,6174,503,4060,2993,5101,2736,4852,4951,5890,1812,1458,2146,3283,3345,1588,978
36,28,192,60,85,19,19,66,33,82,49,292,237,97,41,67,30,62,42,7
1858,681,682,1308,2258,261,1270,1809,1088,1327,1172,1245,1102,342,183,215,1234,4817,200,216
2878,2045,3744,2408,3266,550,1453,2822,1808,3955,1702,1893,2651,901,761,8641,1552,1836,3711,575
63,50,106,143,251,13,67,15,70,64,61,51,56,114,38,122,61,4,425,13
2018,1251,3220,3188,2426,767,1155,1669,1746,2039,1629,2408,2038,958,911,2064,1218,1444,1235,429
875,332,353,435,1206,119,582,597,589,579,626,3906,3394,296,234,770,383,573,960,64
2860,4262,3622,4245,4366,1134,1833,5390,3098,4104,2270,6265,5536,2028,2236,3734,3675,5656,4169,1418
4981,4464,3165,5902,5192,2787,3837,4688,5331,2609,3666,4429,6439,3582,3008,8222,5107,7527,4385,4553
8669,19058,6235,27054,10291,4355,5961,21029,8089,15332,6222,10981,14412,10731,3683,25339,14777,20871,10866,7531
19069,28010,10084,36900,21286,7265,14218,27539,20752,43210,13152,20396,25789,13896,10268,38199,23654,33697,22279,16722
4130,6142,6122,7534,8993,2163,3002,5095,4082,6104,2993,3819,5181,4716,3536,5700,4492,5181,6926,6263
4908,4559,8123,16747,3865,9531,3952,6601,5085,6027,4197,5283,8201,9886,6522,19232,3883,7766,10982,2028
2102,310,81,50,222,22,1668,1462,2239,713,1921,463,623,489,54,1402,91,5016,8673,60
0,0,5,0,1,2,0,2,0,196,0,0,0,9,2,0,1,2,4,4
259,108,293,125,147,150,181,421,180,299,207,126,268,258,207,342,125,370,204,124
6689,275,24,60,201,14,4327,41,6340,52,4700,90,246,4,7,16,2859,100,7,3
555,815,955,1423,610,461,478,803,655,707,400,648,785,506,541,1070,693,1163,487,516
294,373,639,353,682,105,186,590,169,460,198,412,643,653,144,168,405,549,352,856
1061,748,1200,1598,1482,429,705,1005,899,677,788,600,885,444,520,1038,736,890,1860,840
1173,2201,1178,2992,1535,827,932,1805,1214,2167,713,1031,1187,1428,975,1491,1547,2068,2154,2097
1880,110,246,396,177,350,1483,911,1377,386,3179,123,177,96,699,14,372,244,247,8
4287,5819,5148,8815,10648,2395,2833,6446,3516,4834,3180,4820,6318,3661,2561,7723,6330,5716,8225,2505
1159,2278,1963,2577,1950,1268,925,1370,1434,5152,865,1440,1688,1459,1639,1831,1659,1521,3205,1340
48,157,156,426,289,43,19,181,40,125,27,174,152,59,33,45,261,213,99,36
440,891,651,1222,966,320,340,668,510,855,382,436,666,510,813,717,540,914,1057,589
1259,941,1223,2710,1568,302,751,825,1078,947,812,792,1015,283,727,1324,710,1720,1241,261
442,658,415,728,541,100,223,635,434,350,368,462,696,109,208,890,434,692,855,167
6743,11470,17792,15832,11385,5828,5060,9874,7565,9733,5833,7142,8854,13202,8326,9795,9555,12746,6756,8923
7884,3377,1188,7061,2643,368,4696,3118,7076,12126,5030,2619,2681,528,292,3050,2293,2617,3653,167
1127,1445,1650,3262,2916,926,836,1803,1069,537,782,1501,1924,933,1008,1623,1136,2955,3205,748
2649,5881,6462,13383,3223,2541,1726,4552,3978,8849,2911,11251,10817,3064,4370,6740,7056,6450,3561,3887
2,3,7,10,3,0,0,2,2,1380,8,9,2,0,0,44,1,1,86,0
1417,1160,2964,4126,2185,823,816,1767,1200,2198,998,1275,2012,2368,791,1905,2123,1568,2868,959
674,1002,287,339,630,62,340,1092,458,774,519,740,1180,411,128,1464,522,958,1513,100
64,174,119,41,155,26,6,35,28,63,25,137,159,209,13,13,278,15,35,16
297,223,307,318,126,83,230,260,326,225,238,102,231,162,67,205,158,198,151,51
1768,179,144,231,177,45,886,1551,1518,785,1056,1326,1545,146,33,535,175,604,216,10
4850,3999,9142,8157,3260,1876,2732,3493,3838,3757,3575,3149,5343,1723,2511,7015,4321,2882,4743,806
4212,5917,2574,4953,9580,485,1461,13123,3031,3476,4364,4464,9717,4689,710,6988,3086,8261,25466,354
637,210,350,325,234,85,503,643,665,313,469,235,317,43,134,392,185,497,348,36
14025,4,5,53,9,7,9749,23691,9889,37,9993,34,110,14,4,9,23,6844,80,11
622,943,358,600,1516,206,285,1058,418,712,591,857,1123,158,391,1063,762,648,1254,354
66,319,14,6,68,3,10,7,48,951,12,1,4,6,36,14,635,5,17,0
297,385,650,682,763,162,233,524,328,392,298,399,500,405,282,545,301,615,822,230
825,2965,832,1936,3990,314,311,1744,468,493,494,2484,4385,636,436,654,1398,1989,3798,197
412,211,302,586,278,140,341,568,424,188,419,395,351,96,94,414,339,540,302,37
126,972,155,352,906,43,65,397,74,223,86,1480,1707,173,71,246,501,782,935,36
641,802,464,922,577,221,379,1311,536,379,294,479,805,659,287,635,652,1252,535,243
2258,1405,2690,2015,1915,796,1251,3405,1507,1199,1779,1107,1694,1360,918,4244,1565,2784,1175,495
1567,2329,922,2475,2456,759,935,4581,1179,1758,1168,2401,3121,2635,1972,4469,1928,5200,10418,549
2937,3463,3396,7629,3505,2131,2083,4320,3168,5048,2614,4080,3559,2751,3325,4593,4766,4312,3235,1969
10975,251,64,48,166,28,6191,2076,8901,253,3560,45,171,68,56,185,234,4051,12,80
1917,1499,2467,3431,2503,925,1042,2136,1486,2887,1473,2670,3904,1411,1138,2094,1696,2133,2188,1139
1988,1356,1020,3801,1752,289,973,1155,1287,1425,1430,1232,1278,323,337,965,1083,1111,816,254
1935,702,2223,1221,1209,517,1320,1894,1570,958,1802,1319,1633,1020,782,1548,1057,1266,1098,528
2045,4668,1008,1421,3748,264,631,1249,1380,5645,1225,3279,7426,762,544,7605,3845,971,11621,791
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,5,12,8,1,2,5,0,1,1,4,14,13,3,6,17,2,12,2
6497,2513,1098,3025,762,603,4159,5955,5037,1630,4141,1724,2652,541,445,3671,2399,6006,1583,523
3683,2784,5509,4249,2963,2082,2455,5185,3146,3316,2794,2033,3386,2759,3016,4517,2935,4925,3061,4375
606,338,577,864,805,121,287,923,352,448,428,422,442,135,190,549,246,492,393,99
734,399,901,1252,709,330,388,1023,697,455,590,370,452,368,309,749,451,753,613,214
